what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289598638367
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1289598640774
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289598755356
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289598781843
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289598799187
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1289598803733
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1289598803733
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289598803798
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1289598830441
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289598837068
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1289598842871
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289598842935
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1289599041775
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1289599042094
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289599042303
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289599047901
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1289599050518
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289599050576
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289599063639
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289599112987
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1289599113074
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1289599116252
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289599119103
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289599170924
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1289599410745
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1289599437815
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1289599438146
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1289599440783
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289599441420
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289599443629
