what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.addTaskRepository",1289594336301
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289594336372
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289594342748
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289594929935
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289594932322
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289594933521
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289595315018
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289595321059
started,bundle,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms",1289595327172
started,bundle,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.adt",1289595327322
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1289595328106
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1289595328119
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1289595328125
error,log,,,"Unable to read /AndroidManifest.xml: java.io.FileNotFoundException: /AndroidManifest.xml (No such file or directory)",1289595338312
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1289595338406
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1289595338449
error,log,,,"Unable to read /AndroidManifest.xml: java.io.FileNotFoundException: /AndroidManifest.xml (No such file or directory)",1289595338468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289595451312
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1289595454187
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1289595454250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289595456066
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.101.R35x_20100105,"org.eclipse.equinox.p2.updatesite",1289595457398
error,log,,,"Operation details",1289595498381
error,log,,,"Operation details",1289595498383
error,log,,,"Operation details",1289595498392
error,log,,,"Operation details",1289595498452
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1289595514166
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289595514227
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289595522794
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289595816574
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289595818223
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289595821503
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1289595823413
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1289595823414
stopped,bundle,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.adt",1289595823727
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1289595823728
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1289595823728
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1289595823729
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1289595823729
