what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289654802376
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289654805330
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1289654821558
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289654823331
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.xml.XmlEditor",1289654825248
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289654825352
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1289654833704
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.xml.XmlEditor",1289654839943
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1289654880805
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289654990272
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655000060
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1289655007592
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655007639
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655012456
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1289655104964
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655338070
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289655338228
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655346448
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655625283
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655629338
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655630637
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655640776
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1289655648729
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1289655648845
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655649324
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1289655649548
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1289655654775
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289655654992
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289656083772
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1289656097624
