what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289850577437
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289850577437
java.vm.specification.version,sysinfo,,,"1.0",1289850577437
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1289850577437
java.vm.version,sysinfo,,,"19.0-b06",1289850577437
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1289850578091
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1289850578257
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1289850578279
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1289850578774
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1289850578868
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1289850579190
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1289850579350
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1289850579714
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1289850579842
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1289850579952
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1289850580111
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1289850580589
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1289850581659
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289850759506
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1289850768603
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1289850769065
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289850769252
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1289850775880
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1289850793236
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1289850802529
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1289850802653
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289850818229
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1289850820048
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1289850820296
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289850820413
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289850854868
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852275833
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289852281712
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1289852281892
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1289852281968
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1289852284688
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1289852290235
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1289852292524
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852294575
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852589941
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852591453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852785613
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.showKeyAssist",1289852802506
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852802597
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852804512
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1289852806624
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1289852810742
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852812564
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852815502
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852838114
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852886470
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1289852893609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852896820
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852906908
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1289852921406
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1289852923664
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1289852924025
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1289852924473
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852930495
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852933329
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289852935487
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289853011560
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289853045868
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289853052051
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289853081263
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289853126995
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1289853132783
